School,Zip Code,Grades,Local District,Board District,complete_address,latitude,longitude
Nueva Vista Elementary,90201,K- 6,E,5-Jackie Goldberg,4412 Randolph St Bell CA 90201,33.9809106,-118.1882376
Huntington Drive Elementary,90032,K- 6,E,2-Monica Garcia,4435 N Huntington Dr Los Angeles CA 90032,34.0826932,-118.1918344
Jaime Escalante Elementary School,90201,K- 6,E,5-Jackie Goldberg,4443 Live Oak St Cudahy CA 90201,33.968362,-118.18853500000002
Bryson Avenue Elementary Science/Tech/Math Magnet,90280,1- 5,E,5-Jackie Goldberg,4470 Missouri Ave South Gate CA 90280,33.9446826,-118.1927625
Inner City Education Foundation Vista Elementary Academy,90066,K- 5,XR,4-Nick Melvoin,4471 Inglewood Blvd Los Angeles CA 90066,33.99455220000001,-118.4187063
Ramon C Cortines School of Visual & Performing Arts,90012,9-12,C,2-Monica Garcia,450 N Grand Ave Los Angeles CA 90012,34.0599321,-118.2442108
Woodrow Wilson Senior High,90032,9-12,E,2-Monica Garcia,4500 Multnomah St Los Angeles CA 90032,34.069770500000004,-118.1863639
Normandie Avenue Elementary,90037,K- 5,C,1-Dr George J McKenna III,4505 S Raymond Ave Los Angeles CA 90037,34.002928999999995,-118.299
Walter Reed Middle School,91602,6- 8,NE,3-Scott M Schmerelson,4525 Irvine Ave North Hollywood CA 91602,34.1529566,-118.3860967
Alfonso B Perez Special Education Center,90022,6-12,E,2-Monica Garcia,4540 Michigan Ave Los Angeles CA 90022,34.038796600000005,-118.16804840000002
Toland Way Elementary,90041,K- 6,C,5-Jackie Goldberg,4545 Toland Way Los Angeles CA 90041,34.1212287,-118.2172545
Theodore Roosevelt Senior High,90033,9-12,E,2-Monica Garcia,456 S Mathews St Los Angeles CA 90033,34.0375223,-118.2120058
Lexington Avenue Primary Center,90029,K- 2,C,5-Jackie Goldberg,4564 W Lexington Ave Los Angeles CA 90029,34.0927845,-118.28797140000002
Alliance Alice M Baxter College Ready High School,90731,9-12,XR,7-Dr Richard A Vladovic,461 W 9th St San Pedro CA 90731,33.7357534,-118.2872406
Alliance P & P Neuwirth College Ready High School,90037,9-12,XR,7-Dr Richard A Vladovic,4610 S Main St Los Angeles CA 90037,34.0012848,-118.2738304
Brooklyn Avenue Elementary,90022,K- 8,E,2-Monica Garcia,4620 Cesar Chavez Ave Los Angeles CA 90022,34.0397088,-118.1642065
Los Angeles Senior High,90019,9-12,W,1-Dr George J McKenna III,4650 W Olympic Blvd Los Angeles CA 90019,34.055405,-118.3329852
Monterey Continuation High,90022,9-12,E,2-Monica Garcia,466 S Fraser Ave Los Angeles CA 90022,34.0283414,-118.1588828
4th Street Primary Center,90022,K- 1,E,2-Monica Garcia,469 Amalia Ave Los Angeles CA 90022,34.0272893,-118.15441640000002
View Park Continuation High,90016,9-12,W,1-Dr George J McKenna III,4701 Rodeo Rd Los Angeles CA 90016,34.0213734,-118.3481257
Braddock Drive Elementary,90230,K- 5,W,4-Nick Melvoin,4711 Inglewood Blvd Culver City CA 90230,33.9929575,-118.415503
Anahuacalmecac Int Unv Prep of North America,90032,K-12,XR,2-Monica Garcia,4736 Huntington Dr S Los Angeles CA 90032,34.085066,-118.1814855
Para Los Ninos - Evelyn Thurman Gratts Primary,90017,K- 1,XR,2-Monica Garcia,474 S Hartford Ave Los Angeles CA 90017,34.056217600000004,-118.2639201
Griffith Middle School STEAM Magnet,90022,6- 8,E,2-Monica Garcia,4765 E 4th St Los Angeles CA 90022,34.031282899999994,-118.1620496
KIPP Iluminar Academy,90022,K- 1,XR,2-Monica Garcia,4800 E Cesar Chavez Ave Los Angeles CA 90022,34.0402535,-118.1614097
Arroyo Seco Museum Science Magnet,90042,K- 8,C,2-Monica Garcia,4805 Sycamore Terr Los Angeles CA 90042,34.1024094,-118.2038205
Elizabeth Learning Center,90201,K-12,E,5-Jackie Goldberg,4811 Elizabeth St Cudahy CA 90201,33.963157700000004,-118.1830734
Toluca Lake Elementary,91601,K- 5,NE,4-Nick Melvoin,4840 Cahuenga Blvd North Hollywood CA 91601,34.1592791,-118.3612155
Morris K Hamasaki El Medical/Science Magnet,90022,1- 5,E,2-Monica Garcia,4865 E 1st St Los Angeles CA 90022,34.0373561,-118.16018390000002
George de la Torre Jr Elementary,90744,K- 6,S,7-Dr Richard A Vladovic,500 N Island Ave Wilmington CA 90744,33.7764426,-118.2659004
Humphreys Avenue Elementary,90022,K- 5,E,2-Monica Garcia,500 S Humphreys Ave Los Angeles CA 90022,34.0289434,-118.1708251
Van Ness Avenue Elementary,90004,K- 5,W,4-Nick Melvoin,501 N Van Ness Ave Los Angeles CA 90004,34.0808105,-118.3160769
Puente Charter,90033,K- K,XR,2-Monica Garcia,501 S Boyle Ave Los Angeles CA 90033,34.0415799,-118.2201788
Crenshaw Magnets: Science Tech Engineer Math & Medicine,90043,9-12,W,1-Dr George J McKenna III,5010 11th Ave Los Angeles CA 90043,33.997372,-118.3285655
Serrania Avenue Charter for Enriched Studies,91364,K- 5,NW,4-Nick Melvoin,5014 Serrania Ave Woodland Hills CA 91364,34.160522,-118.587346
Buchanan Street Elementary Science/Tech/Math Magnet,90042,K- 5,C,5-Jackie Goldberg,5024 Buchanan St Los Angeles CA 90042,34.1192482,-118.2063769
Ellen Ochoa Learning Center,90201,K- 8,E,5-Jackie Goldberg,5027 Live Oak St Cudahy CA 90201,33.9678828,-118.1767795
ICEF Innovation Los Angeles Charter,90037,K- 5,XR,1-Dr George J McKenna III,5029 S Vermont Ave Los Angeles CA 90037,33.9975396,-118.291885
Rosewood Avenue Elementary Urban Planning/Design Magnet,90048,K- 5,W,4-Nick Melvoin,503 N Croft Ave Los Angeles CA 90048,34.0806155,-118.37453290000002
Robert A Millikan Charter MS Performing Arts Magnet,91423,6- 8,NE,3-Scott M Schmerelson,5041 Sunnyslope Ave Sherman Oaks CA 91423,34.163518700000004,-118.42848700000002
Nestle Avenue Charter,91356,K- 5,NW,4-Nick Melvoin,5060 Nestle Ave Tarzana CA 91356,34.161862,-118.529913
Dahlia Heights Elementary,90041,K- 6,C,5-Jackie Goldberg,5063 Floristan Ave Los Angeles CA 90041,34.1385373,-118.1991595
Figueroa Street Elementary,90044,K- 5,S,7-Dr Richard A Vladovic,510 W 111th St Los Angeles CA 90044,33.934388,-118.2829473
James A Garfield Senior High,90022,9-12,E,2-Monica Garcia,5101 E 6th St Los Angeles CA 90022,34.0254315,-118.1578239
California Collegiate Charter,90062,6- 7,XR,1-Dr George J McKenna III,5101 S Western Ave Los Angeles CA 90062,33.99659129999999,-118.3094279
Holmes Avenue Elementary,90058,K- 6,E,5-Jackie Goldberg,5108 Holmes Ave Los Angeles CA 90058,33.9957647,-118.2404646
Arts in Action Community Charter,90022,K- 5,XR,2-Monica Garcia,5115 Via Corona St Los Angeles CA 90022,34.032249,-118.155064
Alliance Marc & Eva Stern Math & Science School,90032,9-12,XR,5-Jackie Goldberg,5151 State University Dr Lot2 Los Angeles CA 90032,34.0620391,-118.1736587
KIPP Academy of Innovation,90022,5- 8,XR,2-Monica Garcia,5164 Whittier Blvd Los Angeles CA 90022,34.020335700000004,-118.1581416
Maywood Elementary School,90270,K- 5,E,5-Jackie Goldberg,5200 Cudahy Ave Maywood CA 90270,33.99330560000001,-118.1839875
Kingsley Elementary School,90029,K- 5,W,5-Jackie Goldberg,5200 W Virginia Ave Los Angeles CA 90029,34.0916266,-118.3029287
Wilbur Charter for Enriched Academics,91356,K- 5,NW,4-Nick Melvoin,5213 Crebs Ave Tarzana CA 91356,34.164432,-118.544704
Windsor Hills Elementary Math/Science Aerospace Magnet,90043,K- 5,W,1-Dr George J McKenna III,5215 Overdale Dr Los Angeles CA 90043,33.9957253,-118.3556932
International Studies Learning Center,90280,6-12,E,5-Jackie Goldberg,5225 Tweedy Blvd South Gate CA 90280,33.941267100000005,-118.1789574
North Hollywood Senior High,91601,9-12,NE,3-Scott M Schmerelson,5231 Colfax Ave North Hollywood CA 91601,34.1666154,-118.3895628
Wilshire Crest Elementary,90036,K- 5,W,1-Dr George J McKenna III,5241 W Olympic Blvd Los Angeles CA 90036,34.057988,-118.343595
Cesar Chavez Elementary School,90032,K- 6,E,2-Monica Garcia,5243 Oakland St Los Angeles CA 90032,34.0886468,-118.1680828
Lankershim Elementary,91601,K- 5,NE,3-Scott M Schmerelson,5250 Bakman Ave North Hollywood CA 91601,34.16635,-118.376836
ICEF View Park Preparatory MS,90043,6- 8,XR,1-Dr George J McKenna III,5311 Crenshaw Blvd Los Angeles CA 90043,33.9943634,-118.3311751
ICEF View Park Preparatory ES,90043,K- 5,XR,1-Dr George J McKenna III,5311 S Crenshaw Blvd Los Angeles CA 90043,33.9943633,-118.3312571
Kester Avenue Elementary,91411,K- 5,NE,3-Scott M Schmerelson,5353 Kester Ave Van Nuys CA 91411,34.167579,-118.458537
Amelia Earhart Continuation High School,91601,9-12,NE,3-Scott M Schmerelson,5355 Colfax Ave North Hollywood CA 91601,34.1680679,-118.3880348
Alliance Ouchi-O'Donovan 6-12 Complex,90043,6-12,XR,1-Dr George J McKenna III,5356 S 5th Ave Los Angeles CA 90043,33.993472600000004,-118.3222229
Saturn Street Elementary,90019,K- 5,W,1-Dr George J McKenna III,5360 Saturn St Los Angeles CA 90019,34.046602500000006,-118.3561935
Hawaiian Avenue Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,540 Hawaiian Ave Wilmington CA 90744,33.775751,-118.2761873
New Los Angeles Elementary School,90016,K- 2,XR,1-Dr George J McKenna III,5421 Obama Rd Los Angeles CA 90016,34.022506,-118.365295
Baldwin Hills Elementary,90016,K- 5,W,1-Dr George J McKenna III,5421 Rodeo Rd Los Angeles CA 90016,34.021395299999995,-118.3508326
Monte Vista Street Elementary,90042,1- 5,C,5-Jackie Goldberg,5423 Monte Vista St Los Angeles CA 90042,34.1100939,-118.19826840000002
Henry David Thoreau Continuation High,91364,9-12,NW,4-Nick Melvoin,5429 Quakertown Ave Woodland Hills CA 91364,34.169030600000006,-118.5699724
Bright Star Secondary Academy,90045,9-12,XR,1-Dr George J McKenna III,5431 W 98th St Los Angeles CA 90045,33.9484199,-118.375952
High Tech LA Middle,91411,6- 7,XR,6-Kelly Gonez,5435 Vesper Av Rm B50 Van Nuys CA 91411,34.1695042,-118.4512307
Boyle Heights Continuation High,90033,9-12,E,2-Monica Garcia,544 S Mathews St Los Angeles CA 90033,34.0376714,-118.2112688
El Camino Real Charter High School,91367,9-12,XR,3-Scott M Schmerelson,5440 Valley Circle Blvd Woodland Hills CA 91367,34.1701649,-118.6431457
Animo Westside Charter Middle School,90066,6- 8,XR,4-Nick Melvoin,5456 Mcconnell Ave Los Angeles CA 90066,33.9775312,-118.4185456
William Howard Taft Charter High School,91364,9-12,NW,4-Nick Melvoin,5461 Winnetka Ave Woodland Hills CA 91364,34.1696153,-118.5716823
54th Street Elementary,90043,K- 6,W,1-Dr George J McKenna III,5501 S Eileen Ave Los Angeles CA 90043,33.9919629,-118.34331840000002
Bushnell Way Elementary DL Two-Way Im Spanish,90042,K- 1,C,5-Jackie Goldberg,5507 Bushnell Way Los Angeles CA 90042,34.102383,-118.1890378
East Valley Senior High,91601,9-12,NE,6-Kelly Gonez,5525 Vineland Ave North Hollywood CA 91601,34.1705929,-118.37153290000002
Richard Riordan Primary Center,90042,K- 1,C,5-Jackie Goldberg,5531 Monte Vista St Los Angeles CA 90042,34.1112688,-118.1961206
Open Charter Magnet,90045,K- 5,W,4-Nick Melvoin,5540 W 77th St Los Angeles CA 90045,33.968163200000006,-118.3782891
Yorkdale Elementary,90042,K- 5,C,5-Jackie Goldberg,5657 Meridian St Los Angeles CA 90042,34.120906299999994,-118.1941328
Fishburn Avenue Elementary,90270,K- 5,E,5-Jackie Goldberg,5701 Fishburn Ave Maywood CA 90270,33.989427899999995,-118.191357
ICEF View Park Preparatory HS,90043,9-12,XR,1-Dr George J McKenna III,5701 S Crenshaw Blvd Los Angeles CA 90043,33.9908738,-118.3309995
Tarzana Elementary,91356,K- 5,NW,4-Nick Melvoin,5726 Topeka Dr Tarzana CA 91356,34.1748974,-118.54581609999998
The City School,90016,6- 8,XR,4-Nick Melvoin,5753 Obama Blvd Los Angeles CA 90016,34.0220016,-118.3711378
Richard A Alonzo Community Day School,90028,7-12,W,4-Nick Melvoin,5755 Fountain Ave Los Angeles CA 90028,34.0948999,-118.3151144
Morningside Elementary,91340,K- 5,NE,6-Kelly Gonez,576 N Maclay Ave San Fernando CA 91340,34.2882223,-118.43388020000002
Maywood Center for Enriched Studies (MaCES) Magnet,90270,6-12,E,5-Jackie Goldberg,5800 King Ave Maywood CA 90270,33.9873205,-118.1830899
Alliance Kory Hunter Middle School,90001,6- 8,XR,7-Dr Richard A Vladovic,5886 Compton Ave Los Angeles CA 90001,33.987055700000006,-118.2474504
Lillian Street Elementary,90001,K- 6,E,5-Jackie Goldberg,5909 Lillian St Los Angeles CA 90001,33.986352200000006,-118.240671
Heliotrope Avenue Elementary,90270,K- 5,E,5-Jackie Goldberg,5911 Woodlawn Ave Maywood CA 90270,33.98580889999999,-118.1769037
John Muir Middle School,90044,6- 8,W,1-Dr George J McKenna III,5929 S Vermont Ave Los Angeles CA 90044,33.9865188,-118.2920462
Los Angeles Center for Enriched Studies (LACES) Magnet,90035,6-12,W,1-Dr George J McKenna III,5931 W 18th St Los Angeles CA 90035,34.0438008,-118.37153290000002
59th Street Elementary,90043,K- 5,W,1-Dr George J McKenna III,5939 Second Ave Los Angeles CA 90043,33.9860362,-118.3199397
Budlong Avenue Elementary,90044,K- 5,W,1-Dr George J McKenna III,5940 S Budlong Ave Los Angeles CA 90044,33.986184,-118.293935
New Horizons Charter Academy,91601,K- 7,XR,6-Kelly Gonez,5955 Lankershim Blvd North Hollywood CA 91601,34.1788313,-118.3835842
Rise Kohyang Elementary,90057,K- K,XR,2-Monica Garcia,600 S La Fayette Park Los Angeles CA 90057,34.0624284,-118.2821708
John Burroughs Middle School Gifted Magnet,90005,6- 8,W,1-Dr George J McKenna III,600 S Mc Cadden Pl Los Angeles CA 90005,34.0636937,-118.3363325
Rowan Avenue Elementary,90023,K- 5,E,2-Monica Garcia,600 S Rowan Ave Los Angeles CA 90023,34.0282941,-118.1871408
Westport Heights Elementary,90045,K- 5,W,4-Nick Melvoin,6011 W 79th St Los Angeles CA 90045,33.9670289,-118.388425
Cheremoya Avenue Elementary,90028,K- 6,W,4-Nick Melvoin,6017 Franklin Ave Los Angeles CA 90028,34.1056527,-118.3206708
Huntington Park Senior High,90255,9-12,E,5-Jackie Goldberg,6020 Miles Ave Huntington Park CA 90255,33.986631200000005,-118.2188995
61st Street Elementary,90003,K- 6,W,1-Dr George J McKenna III,6020 S Figueroa St Los Angeles CA 90003,33.9844968,-118.2819881
Chester W Nimitz Middle School,90255,6- 8,E,5-Jackie Goldberg,6021 Carmelita Ave Huntington Park CA 90255,33.9858976,-118.1971945
Alliance Jack H Skirball Middle School,90059,6- 8,XR,7-Dr Richard A Vladovic,603 E 115th St Los Angeles CA 90059,33.9304566,-118.26495049999998
Bridge Street Elementary,90033,K- 5,E,2-Monica Garcia,605 N Boyle Ave Los Angeles CA 90033,34.052647799999995,-118.216889
John B Monlux Elementary,91606,K- 5,NE,3-Scott M Schmerelson,6051 Bellaire Ave North Hollywood CA 91606,34.181682,-118.409964
Huntington Park  Elementary DL Two-Way Im Spanish,90255,K- 2,E,5-Jackie Goldberg,6055 Corona Ave Huntington Park CA 90255,33.9848797,-118.1950754
Dayton Heights Elementary,90004,K- 5,C,5-Jackie Goldberg,607 N Westmoreland Ave Los Angeles CA 90004,34.082133,-118.2883368
Diego Rivera Learning Complex Communication & Technology,90001,9-12,S,7-Dr Richard A Vladovic,6100 S Central Ave Los Angeles CA 90001,33.983250299999995,-118.2554946
Crete Academy,90043,K- 6,XR,1-Dr George J McKenna III,6103 Crenshaw Blvd Los Angeles CA 90043,33.9844975,-118.3312625
Harold McAlister High School CYESIS,90057,6-12,C,2-Monica Garcia,611 S Carondelet St Los Angeles CA 90057,34.0611239,-118.2803438
Gil Garcetti Learning Academy,90044,K- 6,S,7-Dr Richard A Vladovic,612 W 68th St Los Angeles CA 90044,33.9772612,-118.284343
Maywood Academy Senior High,90270,9-12,E,5-Jackie Goldberg,6125 Pine Ave Maywood CA 90270,33.9829878,-118.18887279999998
Annandale Elementary,90042,K- 5,C,5-Jackie Goldberg,6125 Poppy Peak Dr Los Angeles CA 90042,34.1285474,-118.18666090000002
Warner Avenue Elementary,90024,K- 5,W,4-Nick Melvoin,615 Holmby Ave Los Angeles CA 90024,34.0696414,-118.4333326
Young Oak Kim Academy,90005,6- 8,C,2-Monica Garcia,615 S Shatto Pl Los Angeles CA 90005,34.0633021,-118.2902094
Solano Avenue Elementary,90012,K- 6,E,2-Monica Garcia,615 Solano Ave Los Angeles CA 90012,34.076269,-118.2323495
Lockhurst Drive Charter Elementary,91367,K- 5,NW,3-Scott M Schmerelson,6170 Lockhurst Dr Woodland Hills CA 91367,34.1833399,-118.6470344
San Antonio Elementary,90255,K- 5,E,5-Jackie Goldberg,6222 State St Huntington Park CA 90255,33.9831034,-118.2120477
Sylvan Park Elementary,91411,K- 5,NE,6-Kelly Gonez,6238 Noble Ave Van Nuys CA 91411,34.183604100000004,-118.4614407
Equitas Academy 4,90005,5- 5,XR,4-Nick Melvoin,631 S Commonwealth Ave Los Angeles CA 90005,34.06242599999999,-118.28587009999998
Woodlawn Avenue Elementary,90201,K- 5,E,5-Jackie Goldberg,6314 Woodlawn Ave Bell CA 90201,33.9779925,-118.1776226
Victory Boulevard Elementary,91606,K- 5,NE,6-Kelly Gonez,6315 Radford Ave North Hollywood CA 91606,34.1855899,-118.3922898
Aldama Elementary,90042,K- 5,C,5-Jackie Goldberg,632 N Avenue 50 Los Angeles CA 90042,34.1102323,-118.2064709
Carthay Elementary of Environmental Studies Magnet,90048,K- 5,W,1-Dr George J McKenna III,6351 W Olympic Blvd Los Angeles CA 90048,34.059194700000006,-118.3691642
Linda Esperanza Marquez Senior High HPIAM,90255,9-12,E,5-Jackie Goldberg,6361 Cottage St Huntington Park CA 90255,33.9819497,-118.2338757
Martha Escutia Primary Center,90201,K- K,E,5-Jackie Goldberg,6401 Bear Ave Bell CA 90201,33.9785474,-118.1980263
Mountain View Elementary,91042,K- 5,NE,6-Kelly Gonez,6410 Olcott St Tujunga CA 91042,34.2488873,-118.2723504
Magnolia Science Academy Bell @ South Region MS #2A,90201,6- 8,XR,5-Jackie Goldberg,6411 Orchard Ave Bell CA 90201,33.9791247,-118.2000542
Los Angeles Academy Middle School STEAM Magnet,90011,6- 8,C,7-Dr Richard A Vladovic,644 E 56th St Los Angeles CA 90011,33.9907285,-118.2642196
Alliance Dr Olga Mohan High School,90015,9-12,XR,2-Monica Garcia,644 W 17th St Los Angeles CA 90015,34.0369283,-118.2722591
Kenter Canyon Elementary Charter,90049,K- 5,W,4-Nick Melvoin,645 N Kenter Ave Los Angeles CA 90049,34.0707234,-118.4890885
Luther Burbank Middle School Arts/Technology/Community Mag,90042,6- 8,C,5-Jackie Goldberg,6460 N Figueroa St Los Angeles CA 90042,34.1197278,-118.1833328
Van Nuys Elementary,91401,K- 5,NE,6-Kelly Gonez,6464 Sylmar Ave Van Nuys CA 91401,34.188146,-118.445441
Luther Burbank Middle School Police Academy Magnet,90042,6- 8,C,5-Jackie Goldberg,6468 N Figueroa St Los Angeles CA 90042,34.1198451,-118.18369479999998
Gardena Elementary,90247,K- 5,S,7-Dr Richard A Vladovic,647 W Gardena Blvd Gardena CA 90247,33.88255170000001,-118.2865555
John H Liechty Middle School,90017,6- 8,C,2-Monica Garcia,650 S Union Ave Los Angeles CA 90017,34.05457579999999,-118.2693814
Thomas A Edison Middle School,90001,6- 8,S,7-Dr Richard A Vladovic,6500 Hooper Ave Los Angeles CA 90001,33.9807494,-118.2516457
Independence Continuation High,91406,9-12,NW,3-Scott M Schmerelson,6501 Balboa Blvd Lake Balboa CA 91406,34.1898531,-118.5022351
Fair Avenue Elementary,91606,K- 5,NE,6-Kelly Gonez,6501 Fair Ave North Hollywood CA 91606,34.189953300000006,-118.377056
ISANA Palmati Academy,91606,K- 5,XR,6-Kelly Gonez,6501 Laurel Canyon Blvd North Hollywood CA 91606,34.18960510000001,-118.3975768
Newcastle Elementary School,91335,K- 5,NW,6-Kelly Gonez,6520 Newcastle Ave Reseda CA 91335,34.189534,-118.523881
Van Nuys Senior High,91411,9-12,NE,6-Kelly Gonez,6535 Cedros Ave Van Nuys CA 91411,34.189234,-118.45516299999998
Middleton Street Elementary,90255,1- 6,E,5-Jackie Goldberg,6537 Malabar St Huntington Park CA 90255,33.9797109,-118.2280375
Westside Innovative School House Community,90045,7- 8,XR,4-Nick Melvoin,6550 W 80th St Los Angeles CA 90045,33.9677904,-118.4038765
Ararat Charter School,91401,K- 5,XR,6-Kelly Gonez,6555 Sylmar Ave Van Nuys CA 91401,34.1898545,-118.4468458
66th Street Elementary,90003,K- 6,S,7-Dr Richard A Vladovic,6600 S San Pedro St Los Angeles CA 90003,33.97957299999999,-118.267965
Manchester Avenue Elementary Comm/Broadcasting Magnet,90044,2- 5,S,1-Dr George J McKenna III,661 W 87th St Los Angeles CA 90044,33.95921920000001,-118.2861471
Selma Avenue Elementary,90028,K- 5,W,4-Nick Melvoin,6611 Selma Ave Los Angeles CA 90028,34.1004583,-118.3343797
Haynes Charter for Enriched Studies,91307,K- 5,NW,3-Scott M Schmerelson,6624 Lockhurst Dr West Hills CA 91307,34.19044470000001,-118.6486523
Daniel Pearl Senior High Journalism & Communications Magnet,91406,9-12,NW,3-Scott M Schmerelson,6649 Balboa Blvd Lake Balboa CA 91406,34.191306,-118.5018816
KIPP Raices Academy,90022,K- 4,XR,2-Monica Garcia,668 S Atlantic Blvd Los Angeles CA 90022,34.02282960000001,-118.15624479999998
Everest Value School,90005,K- 8,XR,2-Monica Garcia,668 S Catalina Ave Los Angeles CA 90005,34.061068799999994,-118.295258
Columbus Avenue Elementary,91405,K- 5,NE,6-Kelly Gonez,6700 Columbus Ave Van Nuys CA 91405,34.19298450000001,-118.4635695
Lake Balboa College Preparatory Magnet K-12,91406,K-12,NW,3-Scott M Schmerelson,6701 Balboa Blvd Lake Balboa CA 91406,34.1921506,-118.5013816
Miles Avenue Elementary Science/Tech/Math Magnet,90255,1- 5,E,5-Jackie Goldberg,6720 Miles Ave Huntington Park CA 90255,33.978041,-118.216816
Aspire Titan Academy,90255,K- 5,XR,5-Jackie Goldberg,6720 S Alameda St Huntington Park CA 90255,33.978062,-118.2343
Aspire Junior Collegiate Academy,90255,K- 5,XR,5-Jackie Goldberg,6724 S Alameda St Huntington Park CA 90255,33.9794717,-118.2357419
Bellingham Elementary,91606,K- 5,NE,6-Kelly Gonez,6728 Bellingham Ave North Hollywood CA 91606,34.1929173,-118.3984259
Esperanza Elementary,90017,K- 5,C,2-Monica Garcia,680 Little St Los Angeles CA 90017,34.054672499999995,-118.2722819
Charter High School of Arts-Multimedia & Performing,91405,9-12,XR,6-Kelly Gonez,6842 Van Nuys Blvd Van Nuys CA 91405,34.1951615,-118.4475697
Coldwater Canyon DL Two-Way Im Spanish,91605,K- K,NE,3-Scott M Schmerelson,6850 Coldwater Canyon Av North Hollywood CA 91605,34.195174,-118.412597
Canoga Park Senior High,91303,9-12,NW,3-Scott M Schmerelson,6850 Topanga Cyn Blvd Canoga Park CA 91303,34.195205,-118.602999
Andres & Maria Cardenas Elementary,91405,K- 5,NE,6-Kelly Gonez,6900 Calhoun Ave Van Nuys CA 91405,34.1962104,-118.44186709999998
Owensmouth Continuation High,91303,9-12,NW,3-Scott M Schmerelson,6921 Jordan Ave Canoga Park CA 91303,34.1963885,-118.60310590000002
Valley View Elementary,90068,K- 5,W,4-Nick Melvoin,6921 Woodrow Wilson Dr Los Angeles CA 90068,34.125356200000006,-118.34502820000002
Fullbright Avenue Elementary DL Two-Way Im Spanish,91306,K- K,NW,4-Nick Melvoin,6940 Fullbright Av Winnetka CA 91306,34.196969200000005,-118.5769257
Camino Nuevo Charter Academy,90057,K- 8,XR,2-Monica Garcia,697 S Burlington Ave Los Angeles CA 90057,34.0554739,-118.27356090000002
RFK Comm Schls - UCLA Community School DL One-Way Im Spanish,90005,K- 5,C,2-Monica Garcia,700 S Mariposa Ave Los Angeles CA 90005,34.0598735,-118.2983999
Ednovate-Brio College Prep,90017,9- 9,XR,2-Monica Garcia,700 Wilshire Blvd Ste 400 Los Angeles CA 90017,34.0486245,-118.25745890000002
Horace Mann UCLA Community School,90047,6-11,W,1-Dr George J McKenna III,7001 S St Andrews Pl Los Angeles CA 90047,33.976186,-118.3115258
RFK Comm Schls - Ambassador School - Global Leadership,90005,6-12,C,2-Monica Garcia,701 S Catalina St Los Angeles CA 90005,34.059778,-118.29739779999998
Learning by Design Charter,90047,K- 1,XR,1-Dr George J McKenna III,7019 S Van Ness Av Los Angeles CA 90047,33.9757049,-118.3180217
Bertrand Avenue Elementary,91335,K- 5,NW,6-Kelly Gonez,7021 Bertrand Ave Reseda CA 91335,34.197698200000005,-118.525232
Hazeltine Avenue Elementary,91405,K- 5,NE,6-Kelly Gonez,7150 Hazeltine Ave Van Nuys CA 91405,34.20037200000001,-118.43908799999998
Central Continuation High,90021,9-12,C,2-Monica Garcia,716 E 14th St Los Angeles CA 90021,34.0318133,-118.2539364
Florence Avenue Elementary,90001,K- 6,E,7-Dr Richard A Vladovic,7211 Bell Ave Los Angeles CA 90001,33.973797,-118.238801
Robert Louis Stevenson College & Career Prep,90023,6- 8,E,2-Monica Garcia,725 S Indiana St Los Angeles CA 90023,34.025999600000006,-118.1933102
Reseda Elementary,91335,K- 5,NW,3-Scott M Schmerelson,7265 Amigo Ave Reseda CA 91335,34.2037251,-118.53903259999998
Metropolitan Continuation High,90021,9-12,E,2-Monica Garcia,727 S Wilson St Los Angeles CA 90021,34.0336955,-118.2347994
O'Melveny Elementary,91340,K- 5,NE,6-Kelly Gonez,728 Woodworth St San Fernando CA 91340,34.27494,-118.445655
KIPP Comienza Community Prep,90255,K- 3,XR,5-Jackie Goldberg,7300 Roseberry Av Huntington Park CA 90255,33.9737459,-118.2321267
Melrose Avenue Elementary Math/Science/Technology Magnet,90046,K- 5,W,4-Nick Melvoin,731 N Detroit St Los Angeles CA 90046,34.084255799999994,-118.3454186
Cabrillo Avenue Elementary,90731,K- 5,S,7-Dr Richard A Vladovic,732 S Cabrillo Ave San Pedro CA 90731,33.7373778,-118.2933667
ISANA Cardinal Academy,91352,K- 5,XR,6-Kelly Gonez,7330 Bakman Ave Sun Valley CA 91352,34.2038571,-118.3770963
Ingenium Charter Middle School,91306,6- 7,XR,3-Scott M Schmerelson,7330 Winnetka Ave Winnetka CA 91306,34.202184,-118.5688519
Stanley Mosk Elementary School,91306,K- 5,NW,4-Nick Melvoin,7335 Lubao Ave Winnetka CA 91306,34.2031508,-118.5682626
PUC CALS Charter Middle & Early College High School,90041,6- 8,XR,5-Jackie Goldberg,7350 N Figueroa St Los Angeles CA 90041,34.1372326,-118.1873693
Ivy Academia,91034,K-12,XR,3-Scott M Schmerelson,7353 Valley Circle Blvd West Hills CA 91034,34.206132399999994,-118.6543926
Village Charter Academy,91303,K- 5,XR,3-Scott M Schmerelson,7357 Jordan Ave Canoga Park CA 91303,34.204044700000004,-118.60345929999998
Anatola Avenue Elementary,91406,K- 5,NW,6-Kelly Gonez,7364 Anatola Ave Lake Balboa CA 91406,34.203923100000004,-118.5145211
Brentwood Elementary Science Magnet,90049,K- 5,W,4-Nick Melvoin,740 Gretna Green Way Los Angeles CA 90049,34.0500598,-118.4739654
